Fugacity,chg,bond_length,eps_eff,sig_eff
150000,0.0,0.0,55,3.0
150000,0.0,0.0,55,3.6
150000,0.0,0.0,55,4.1
150000,0.0,0.0,55,4.6
150000,0.0,0.0,105,3.0
150000,0.0,0.0,105,3.6
150000,0.0,0.0,105,4.1
150000,0.0,0.0,105,4.6
575000,0.0,0.0,55,3.0
575000,0.0,0.0,55,3.6
575000,0.0,0.0,55,4.1
575000,0.0,0.0,55,4.6
575000,0.0,0.0,105,3.0
575000,0.0,0.0,105,3.6
575000,0.0,0.0,105,4.1
575000,0.0,0.0,105,4.6
1500000,0.0,0.0,55,3.0
1500000,0.0,0.0,55,3.6
1500000,0.0,0.0,55,4.1
1500000,0.0,0.0,55,4.6
1500000,0.0,0.0,105,3.0
1500000,0.0,0.0,105,3.6
1500000,0.0,0.0,105,4.1
1500000,0.0,0.0,105,4.6
1500000,0.0,0.0,55,3.0
1500000,0.0,0.0,55,3.6
1500000,0.0,0.0,55,4.1
1500000,0.0,0.0,55,4.6
1500000,0.0,0.0,105,3.0
1500000,0.0,0.0,105,3.6
1500000,0.0,0.0,105,4.1
1500000,0.0,0.0,105,4.6
8250000,0.0,0.0,55,3.0
8250000,0.0,0.0,55,3.6
8250000,0.0,0.0,55,4.1
8250000,0.0,0.0,55,4.6
8250000,0.0,0.0,105,3.0
8250000,0.0,0.0,105,3.6
8250000,0.0,0.0,105,4.1
8250000,0.0,0.0,105,4.6
10000000,0.0,0.0,55,3.0
10000000,0.0,0.0,55,3.6
10000000,0.0,0.0,55,4.1
10000000,0.0,0.0,55,4.6
10000000,0.0,0.0,105,3.0
10000000,0.0,0.0,105,3.6
10000000,0.0,0.0,105,4.1
10000000,0.0,0.0,105,4.6
150000,0.0,1.2,30,3.6
150000,0.3,1.2,30,3.6
150000,0.5,1.2,30,3.6
150000,0.9,1.2,30,3.6
150000,0.0,1.2,30,4.3
150000,0.3,1.2,30,4.3
150000,0.5,1.2,30,4.3
150000,0.9,1.2,30,4.3
150000,0.0,1.2,30,5.1
150000,0.3,1.2,30,5.1
150000,0.5,1.2,30,5.1
150000,0.9,1.2,30,5.1
150000,0.0,1.2,65,3.6
150000,0.3,1.2,65,3.6
150000,0.5,1.2,65,3.6
150000,0.9,1.2,65,3.6
150000,0.0,1.2,65,4.3
150000,0.3,1.2,65,4.3
150000,0.5,1.2,65,4.3
150000,0.9,1.2,65,4.3
150000,0.0,1.2,65,5.1
150000,0.3,1.2,65,5.1
150000,0.5,1.2,65,5.1
150000,0.9,1.2,65,5.1
150000,0.0,1.2,95,3.6
150000,0.3,1.2,95,3.6
150000,0.5,1.2,95,3.6
150000,0.9,1.2,95,3.6
150000,0.0,1.2,95,4.3
150000,0.3,1.2,95,4.3
150000,0.5,1.2,95,4.3
150000,0.9,1.2,95,4.3
150000,0.0,1.2,95,5.1
150000,0.3,1.2,95,5.1
150000,0.5,1.2,95,5.1
150000,0.9,1.2,95,5.1
150000,0.0,1.5,30,3.75
150000,0.3,1.5,30,3.75
150000,0.5,1.5,30,3.75
150000,0.9,1.5,30,3.75
150000,0.0,1.5,30,4.45
150000,0.3,1.5,30,4.45
150000,0.5,1.5,30,4.45
150000,0.9,1.5,30,4.45
150000,0.0,1.5,30,5.25
150000,0.3,1.5,30,5.25
150000,0.5,1.5,30,5.25
150000,0.9,1.5,30,5.25
150000,0.0,1.5,65,3.75
150000,0.3,1.5,65,3.75
150000,0.5,1.5,65,3.75
150000,0.9,1.5,65,3.75
150000,0.0,1.5,65,4.45
150000,0.3,1.5,65,4.45
150000,0.5,1.5,65,4.45
150000,0.9,1.5,65,4.45
150000,0.0,1.5,65,5.25
150000,0.3,1.5,65,5.25
150000,0.5,1.5,65,5.25
150000,0.9,1.5,65,5.25
150000,0.0,1.5,95,3.75
150000,0.3,1.5,95,3.75
150000,0.5,1.5,95,3.75
150000,0.9,1.5,95,3.75
150000,0.0,1.5,95,4.45
150000,0.3,1.5,95,4.45
150000,0.5,1.5,95,4.45
150000,0.9,1.5,95,4.45
150000,0.0,1.5,95,5.25
150000,0.3,1.5,95,5.25
150000,0.5,1.5,95,5.25
150000,0.9,1.5,95,5.25
150000,0.0,1.6,30,3.9
150000,0.3,1.6,30,3.9
150000,0.5,1.6,30,3.9
150000,0.9,1.6,30,3.9
150000,0.0,1.6,30,4.6
150000,0.3,1.6,30,4.6
150000,0.5,1.6,30,4.6
150000,0.9,1.6,30,4.6
150000,0.0,1.6,30,5.3
150000,0.3,1.6,30,5.3
150000,0.5,1.6,30,5.3
150000,0.9,1.6,30,5.3
150000,0.0,1.6,65,3.9
150000,0.3,1.6,65,3.9
150000,0.5,1.6,65,3.9
150000,0.9,1.6,65,3.9
150000,0.0,1.6,65,4.6
150000,0.3,1.6,65,4.6
150000,0.5,1.6,65,4.6
150000,0.9,1.6,65,4.6
150000,0.0,1.6,65,5.3
150000,0.3,1.6,65,5.3
150000,0.5,1.6,65,5.3
150000,0.9,1.6,65,5.3
150000,0.0,1.6,95,3.9
150000,0.3,1.6,95,3.9
150000,0.5,1.6,95,3.9
150000,0.9,1.6,95,3.9
150000,0.0,1.6,95,4.6
150000,0.3,1.6,95,4.6
150000,0.5,1.6,95,4.6
150000,0.9,1.6,95,4.6
150000,0.0,1.6,95,5.3
150000,0.3,1.6,95,5.3
150000,0.5,1.6,95,5.3
150000,0.9,1.6,95,5.3
575000,0.0,1.2,30,3.6
575000,0.3,1.2,30,3.6
575000,0.5,1.2,30,3.6
575000,0.9,1.2,30,3.6
575000,0.0,1.2,30,4.3
575000,0.3,1.2,30,4.3
575000,0.5,1.2,30,4.3
575000,0.9,1.2,30,4.3
575000,0.0,1.2,30,5.1
575000,0.3,1.2,30,5.1
575000,0.5,1.2,30,5.1
575000,0.9,1.2,30,5.1
575000,0.0,1.2,65,3.6
575000,0.3,1.2,65,3.6
575000,0.5,1.2,65,3.6
575000,0.9,1.2,65,3.6
575000,0.0,1.2,65,4.3
575000,0.3,1.2,65,4.3
575000,0.5,1.2,65,4.3
575000,0.9,1.2,65,4.3
575000,0.0,1.2,65,5.1
575000,0.3,1.2,65,5.1
575000,0.5,1.2,65,5.1
575000,0.9,1.2,65,5.1
575000,0.0,1.2,95,3.6
575000,0.3,1.2,95,3.6
575000,0.5,1.2,95,3.6
575000,0.9,1.2,95,3.6
575000,0.0,1.2,95,4.3
575000,0.3,1.2,95,4.3
575000,0.5,1.2,95,4.3
575000,0.9,1.2,95,4.3
575000,0.0,1.2,95,5.1
575000,0.3,1.2,95,5.1
575000,0.5,1.2,95,5.1
575000,0.9,1.2,95,5.1
575000,0.0,1.5,30,3.75
575000,0.3,1.5,30,3.75
575000,0.5,1.5,30,3.75
575000,0.9,1.5,30,3.75
575000,0.0,1.5,30,4.45
575000,0.3,1.5,30,4.45
575000,0.5,1.5,30,4.45
575000,0.9,1.5,30,4.45
575000,0.0,1.5,30,5.25
575000,0.3,1.5,30,5.25
575000,0.5,1.5,30,5.25
575000,0.9,1.5,30,5.25
575000,0.0,1.5,65,3.75
575000,0.3,1.5,65,3.75
575000,0.5,1.5,65,3.75
575000,0.9,1.5,65,3.75
575000,0.0,1.5,65,4.45
575000,0.3,1.5,65,4.45
575000,0.5,1.5,65,4.45
575000,0.9,1.5,65,4.45
575000,0.0,1.5,65,5.25
575000,0.3,1.5,65,5.25
575000,0.5,1.5,65,5.25
575000,0.9,1.5,65,5.25
575000,0.0,1.5,95,3.75
575000,0.3,1.5,95,3.75
575000,0.5,1.5,95,3.75
575000,0.9,1.5,95,3.75
575000,0.0,1.5,95,4.45
575000,0.3,1.5,95,4.45
575000,0.5,1.5,95,4.45
575000,0.9,1.5,95,4.45
575000,0.0,1.5,95,5.25
575000,0.3,1.5,95,5.25
575000,0.5,1.5,95,5.25
575000,0.9,1.5,95,5.25
575000,0.0,1.6,30,3.9
575000,0.3,1.6,30,3.9
575000,0.5,1.6,30,3.9
575000,0.9,1.6,30,3.9
575000,0.0,1.6,30,4.6
575000,0.3,1.6,30,4.6
575000,0.5,1.6,30,4.6
575000,0.9,1.6,30,4.6
575000,0.0,1.6,30,5.3
575000,0.3,1.6,30,5.3
575000,0.5,1.6,30,5.3
575000,0.9,1.6,30,5.3
575000,0.0,1.6,65,3.9
575000,0.3,1.6,65,3.9
575000,0.5,1.6,65,3.9
575000,0.9,1.6,65,3.9
575000,0.0,1.6,65,4.6
575000,0.3,1.6,65,4.6
575000,0.5,1.6,65,4.6
575000,0.9,1.6,65,4.6
575000,0.0,1.6,65,5.3
575000,0.3,1.6,65,5.3
575000,0.5,1.6,65,5.3
575000,0.9,1.6,65,5.3
575000,0.0,1.6,95,3.9
575000,0.3,1.6,95,3.9
575000,0.5,1.6,95,3.9
575000,0.9,1.6,95,3.9
575000,0.0,1.6,95,4.6
575000,0.3,1.6,95,4.6
575000,0.5,1.6,95,4.6
575000,0.9,1.6,95,4.6
575000,0.0,1.6,95,5.3
575000,0.3,1.6,95,5.3
575000,0.5,1.6,95,5.3
575000,0.9,1.6,95,5.3
1500000,0.0,1.2,30,3.6
1500000,0.3,1.2,30,3.6
1500000,0.5,1.2,30,3.6
1500000,0.9,1.2,30,3.6
1500000,0.0,1.2,30,4.3
1500000,0.3,1.2,30,4.3
1500000,0.5,1.2,30,4.3
1500000,0.9,1.2,30,4.3
1500000,0.0,1.2,30,5.1
1500000,0.3,1.2,30,5.1
1500000,0.5,1.2,30,5.1
1500000,0.9,1.2,30,5.1
1500000,0.0,1.2,65,3.6
1500000,0.3,1.2,65,3.6
1500000,0.5,1.2,65,3.6
1500000,0.9,1.2,65,3.6
1500000,0.0,1.2,65,4.3
1500000,0.3,1.2,65,4.3
1500000,0.5,1.2,65,4.3
1500000,0.9,1.2,65,4.3
1500000,0.0,1.2,65,5.1
1500000,0.3,1.2,65,5.1
1500000,0.5,1.2,65,5.1
1500000,0.9,1.2,65,5.1
1500000,0.0,1.2,95,3.6
1500000,0.3,1.2,95,3.6
1500000,0.5,1.2,95,3.6
1500000,0.9,1.2,95,3.6
1500000,0.0,1.2,95,4.3
1500000,0.3,1.2,95,4.3
1500000,0.5,1.2,95,4.3
1500000,0.9,1.2,95,4.3
1500000,0.0,1.2,95,5.1
1500000,0.3,1.2,95,5.1
1500000,0.5,1.2,95,5.1
1500000,0.9,1.2,95,5.1
1500000,0.0,1.5,30,3.75
1500000,0.3,1.5,30,3.75
1500000,0.5,1.5,30,3.75
1500000,0.9,1.5,30,3.75
1500000,0.0,1.5,30,4.45
1500000,0.3,1.5,30,4.45
1500000,0.5,1.5,30,4.45
1500000,0.9,1.5,30,4.45
1500000,0.0,1.5,30,5.25
1500000,0.3,1.5,30,5.25
1500000,0.5,1.5,30,5.25
1500000,0.9,1.5,30,5.25
1500000,0.0,1.5,65,3.75
1500000,0.3,1.5,65,3.75
1500000,0.5,1.5,65,3.75
1500000,0.9,1.5,65,3.75
1500000,0.0,1.5,65,4.45
1500000,0.3,1.5,65,4.45
1500000,0.5,1.5,65,4.45
1500000,0.9,1.5,65,4.45
1500000,0.0,1.5,65,5.25
1500000,0.3,1.5,65,5.25
1500000,0.5,1.5,65,5.25
1500000,0.9,1.5,65,5.25
1500000,0.0,1.5,95,3.75
1500000,0.3,1.5,95,3.75
1500000,0.5,1.5,95,3.75
1500000,0.9,1.5,95,3.75
1500000,0.0,1.5,95,4.45
1500000,0.3,1.5,95,4.45
1500000,0.5,1.5,95,4.45
1500000,0.9,1.5,95,4.45
1500000,0.0,1.5,95,5.25
1500000,0.3,1.5,95,5.25
1500000,0.5,1.5,95,5.25
1500000,0.9,1.5,95,5.25
1500000,0.0,1.6,30,3.9
1500000,0.3,1.6,30,3.9
1500000,0.5,1.6,30,3.9
1500000,0.9,1.6,30,3.9
1500000,0.0,1.6,30,4.6
1500000,0.3,1.6,30,4.6
1500000,0.5,1.6,30,4.6
1500000,0.9,1.6,30,4.6
1500000,0.0,1.6,30,5.3
1500000,0.3,1.6,30,5.3
1500000,0.5,1.6,30,5.3
1500000,0.9,1.6,30,5.3
1500000,0.0,1.6,65,3.9
1500000,0.3,1.6,65,3.9
1500000,0.5,1.6,65,3.9
1500000,0.9,1.6,65,3.9
1500000,0.0,1.6,65,4.6
1500000,0.3,1.6,65,4.6
1500000,0.5,1.6,65,4.6
1500000,0.9,1.6,65,4.6
1500000,0.0,1.6,65,5.3
1500000,0.3,1.6,65,5.3
1500000,0.5,1.6,65,5.3
1500000,0.9,1.6,65,5.3
1500000,0.0,1.6,95,3.9
1500000,0.3,1.6,95,3.9
1500000,0.5,1.6,95,3.9
1500000,0.9,1.6,95,3.9
1500000,0.0,1.6,95,4.6
1500000,0.3,1.6,95,4.6
1500000,0.5,1.6,95,4.6
1500000,0.9,1.6,95,4.6
1500000,0.0,1.6,95,5.3
1500000,0.3,1.6,95,5.3
1500000,0.5,1.6,95,5.3
1500000,0.9,1.6,95,5.3
1500000,0.0,1.2,30,3.6
1500000,0.3,1.2,30,3.6
1500000,0.5,1.2,30,3.6
1500000,0.9,1.2,30,3.6
1500000,0.0,1.2,30,4.3
1500000,0.3,1.2,30,4.3
1500000,0.5,1.2,30,4.3
1500000,0.9,1.2,30,4.3
1500000,0.0,1.2,30,5.1
1500000,0.3,1.2,30,5.1
1500000,0.5,1.2,30,5.1
1500000,0.9,1.2,30,5.1
1500000,0.0,1.2,65,3.6
1500000,0.3,1.2,65,3.6
1500000,0.5,1.2,65,3.6
1500000,0.9,1.2,65,3.6
1500000,0.0,1.2,65,4.3
1500000,0.3,1.2,65,4.3
1500000,0.5,1.2,65,4.3
1500000,0.9,1.2,65,4.3
1500000,0.0,1.2,65,5.1
1500000,0.3,1.2,65,5.1
1500000,0.5,1.2,65,5.1
1500000,0.9,1.2,65,5.1
1500000,0.0,1.2,95,3.6
1500000,0.3,1.2,95,3.6
1500000,0.5,1.2,95,3.6
1500000,0.9,1.2,95,3.6
1500000,0.0,1.2,95,4.3
1500000,0.3,1.2,95,4.3
1500000,0.5,1.2,95,4.3
1500000,0.9,1.2,95,4.3
1500000,0.0,1.2,95,5.1
1500000,0.3,1.2,95,5.1
1500000,0.5,1.2,95,5.1
1500000,0.9,1.2,95,5.1
1500000,0.0,1.5,30,3.75
1500000,0.3,1.5,30,3.75
1500000,0.5,1.5,30,3.75
1500000,0.9,1.5,30,3.75
1500000,0.0,1.5,30,4.45
1500000,0.3,1.5,30,4.45
1500000,0.5,1.5,30,4.45
1500000,0.9,1.5,30,4.45
1500000,0.0,1.5,30,5.25
1500000,0.3,1.5,30,5.25
1500000,0.5,1.5,30,5.25
1500000,0.9,1.5,30,5.25
1500000,0.0,1.5,65,3.75
1500000,0.3,1.5,65,3.75
1500000,0.5,1.5,65,3.75
1500000,0.9,1.5,65,3.75
1500000,0.0,1.5,65,4.45
1500000,0.3,1.5,65,4.45
1500000,0.5,1.5,65,4.45
1500000,0.9,1.5,65,4.45
1500000,0.0,1.5,65,5.25
1500000,0.3,1.5,65,5.25
1500000,0.5,1.5,65,5.25
1500000,0.9,1.5,65,5.25
1500000,0.0,1.5,95,3.75
1500000,0.3,1.5,95,3.75
1500000,0.5,1.5,95,3.75
1500000,0.9,1.5,95,3.75
1500000,0.0,1.5,95,4.45
1500000,0.3,1.5,95,4.45
1500000,0.5,1.5,95,4.45
1500000,0.9,1.5,95,4.45
1500000,0.0,1.5,95,5.25
1500000,0.3,1.5,95,5.25
1500000,0.5,1.5,95,5.25
1500000,0.9,1.5,95,5.25
1500000,0.0,1.6,30,3.9
1500000,0.3,1.6,30,3.9
1500000,0.5,1.6,30,3.9
1500000,0.9,1.6,30,3.9
1500000,0.0,1.6,30,4.6
1500000,0.3,1.6,30,4.6
1500000,0.5,1.6,30,4.6
1500000,0.9,1.6,30,4.6
1500000,0.0,1.6,30,5.3
1500000,0.3,1.6,30,5.3
1500000,0.5,1.6,30,5.3
1500000,0.9,1.6,30,5.3
1500000,0.0,1.6,65,3.9
1500000,0.3,1.6,65,3.9
1500000,0.5,1.6,65,3.9
1500000,0.9,1.6,65,3.9
1500000,0.0,1.6,65,4.6
1500000,0.3,1.6,65,4.6
1500000,0.5,1.6,65,4.6
1500000,0.9,1.6,65,4.6
1500000,0.0,1.6,65,5.3
1500000,0.3,1.6,65,5.3
1500000,0.5,1.6,65,5.3
1500000,0.9,1.6,65,5.3
1500000,0.0,1.6,95,3.9
1500000,0.3,1.6,95,3.9
1500000,0.5,1.6,95,3.9
1500000,0.9,1.6,95,3.9
1500000,0.0,1.6,95,4.6
1500000,0.3,1.6,95,4.6
1500000,0.5,1.6,95,4.6
1500000,0.9,1.6,95,4.6
1500000,0.0,1.6,95,5.3
1500000,0.3,1.6,95,5.3
1500000,0.5,1.6,95,5.3
1500000,0.9,1.6,95,5.3
8250000,0.0,1.2,30,3.6
8250000,0.3,1.2,30,3.6
