MOF_name,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,LPD,PLD,SA_grav,VF,PSSD,density,Fugacity,chg,bond_length,eps_eff,sig_eff,loading,PC1,PC2
OPT_tfk_sym_5_mc_2_sym_3_on_2_2B_4H_2B_4H,0.0,0.0,0.0,0.0,0.196969697,0.03030303,0.0,0.015151515,0.0,0.348484848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.55552,18.81374,7680.706969,0.942164,4.255730889,7.412105814,100000.0,0.0,0.0,124.1,3.42,0.451397967,4.164996065474335,-2.78680819879218
SR_dnr_v1-4c_B_Ch_v2-4c_Cu_1_Ch_v3-3c_B_Ch_2B_4Br_Ch_1x1x2,0.00173627,0.0,0.00329168,0.0,0.0,7.23e-05,0.0,0.00025321,0.0,0.0,0.0,0.0,0.00028938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.03421,65.60985,2338.179612,0.917234,13.74557737,2.781702971,60000.0,0.964,1.1,72.4,3.86,0.100129835,7.6482751216906735,5.854257948807787
SR_ceq_v1-6c_bicyclooctane_Ch_v2-6c_Cr_1_Ch_v3-3c_pyrrole_Ch_ntn_edge_1B_2CN_Ch_2x2x2,0.0,0.00445212,0.02893879,0.00074202,0.00222606,0.0,0.0,0.00964626,0.00445212,0.00222606,0.0,0.0,0.00890424,0.00074202,0.0,0.0,0.0,0.0,0.0,0.0,5.34166,2.04066,130.366825,0.231116,1.816026512,0.724392333,5000000.0,0.0,0.0,221.0,4.1,1.935516927,-4.758517470676955,1.5489271940401343
SR_tfp_v1-3c_B_Ch_v2-4c_Cu_1_Ch_v3-3c_B_Ch_2B_2SH_Ch_1x1x2,0.0,0.0,0.00226869,0.0,0.0,4.93e-05,0.0,0.00138094,0.0,0.0,0.0,0.0,0.00019728,0.0,0.0,0.0,0.0,0.00059183,0.0,0.0,59.35219,57.05724,5921.765,0.953351,16.13758,9.232019,60000.0,0.0,0.0,166.4,3.636,0.4118067,10.228086669520138,2.630037604694745
OPT_mcn_sym_6_mc_3_sym_3_on_2_ntn_edge_ntn_edge_1B_2NH2,0.0,0.0,0.01857581,0.0,0.0,0.0,0.0,0.0092879,0.0,0.0,0.00154798,0.0,0.0092879,0.0,0.0,0.0,0.00077399,0.0,0.00309597,0.0,6.29226,4.54366,1154.036701,0.630743,1.28019690033562,0.9750235579874,1000.0,0.9,1.6,30.0,5.3,0.00051165,-2.951332695470637,0.06883302774788856
OPT_acs_sym_7_mc_4_1B_2OH,0.0,0.0,0.01186933,0.0,0.00148367,0.0,0.0,0.00593466,0.0,0.0,0.0,0.0,0.00593466,0.00049456,0.00296733,0.0,0.0,0.0,0.0,0.0,9.7102,8.0108,2618.118948,0.711684,1.9701643380489,1.3869640117238,1000.0,0.9,1.6,30.0,5.3,0.00205207,-1.7033000145831438,-0.3543598899132233
OPT_apo_sym_6_mc_3_sym_3_on_2_1B_2CF3,0.0,0.0,0.01085849,0.002413,0.0,0.0,0.00723899,0.0036195,0.0,0.0,0.0,0.0,0.002413,0.0,0.0,0.0,0.00020108,0.0,0.00080433,0.0,11.15816,8.10222,3032.003434,0.731634,2.41104253330703,1.5245466586749,1000.0,0.9,1.6,30.0,5.3,1e-07,-1.3478035449389068,-0.44497870845388326
OPT_ibe_sym_6_mc_3_sym_3_on_2_1B_2CH3_1B_2CH3,0.0,0.0,0.01224686,0.00266236,0.0,0.0,0.0,0.01224686,0.0,0.0,0.0,0.0,0.00212989,0.0,0.0,0.0,0.00017749,0.0,0.00070996,0.0,11.57936,8.45322,4575.875504,0.760886,2.04706854833244,2.1917086153629,1000.0,0.9,1.6,30.0,5.3,1e-07,-0.6657572648568661,-1.2773053011962503
OPT_mcn_sym_6_mc_3_sym_3_on_2_1B_2SH_ntn_edge_ntn_edge,0.0,0.0,0.01517836,0.0,0.0,0.0,0.0,0.00632432,0.0,0.0,0.0,0.0,0.00758918,0.0,0.0,0.0,0.00063243,0.00126486,0.00252973,0.0,7.99807,5.98544,2113.480561,0.72516,1.75987291222594,1.1443661454181,1000.0,0.9,1.6,30.0,5.3,0.00201511,-2.104028551044987,-0.3484924191000174
OPT_acs_sym_7_mc_4_1B_2F,0.0,0.0,0.01187012,0.0,0.00148377,0.0,0.00296753,0.00296753,0.0,0.0,0.0,0.0,0.00593506,0.00049459,0.0,0.0,0.0,0.0,0.0,0.0,10.73788,8.32974,2725.642753,0.741073,2.2570080257897,1.3654175536145,1000.0,0.9,1.6,30.0,5.3,0.0023911,-1.4719443185444456,-0.35841004768173046
